date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:09:13	55183/55183	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225fabda82-d78f%22	https://static.tildacdn.com/js/tilda-forms-1.0.min.js	/home/user/websites/almaty/static.tildacdn.com/js/tilda-forms-1.0.min.js	(from https://www.strela-academy.ru/)
00:09:13	93100/93100	URF---	200	added ('OK%20(cached)')	application/x-javascript		http://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	/home/user/websites/almaty/ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	(from https://www.strela-academy.ru/)
00:09:14	14762/14762	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225f7c93dd-39aa%22	https://static.tildacdn.com/js/tilda-slds-1.4.min.js	/home/user/websites/almaty/static.tildacdn.com/js/tilda-slds-1.4.min.js	(from https://www.strela-academy.ru/)
00:09:14	166/166	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Mon,%2030%20Nov%202020%2018:09:14%20GMT	https://static.tildacdn.com/lib/unsplash/596ba62b-55bb-dc43-fc08-19eb54ee0e04/-/resize/20x/photo.jpg	/home/user/websites/almaty/static.tildacdn.com/lib/unsplash/596ba62b-55bb-dc43-fc08-19eb54ee0e04/-/resize/20x/photo.jpg	(from https://www.strela-academy.ru/)
00:09:16	8412/8412	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225fbcf6f3-20dc%22	https://static.tildacdn.com/js/tilda-zoom-2.0.min.js	/home/user/websites/almaty/static.tildacdn.com/js/tilda-zoom-2.0.min.js	(from https://www.strela-academy.ru/)
00:09:16	166/166	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Mon,%2030%20Nov%202020%2018:09:16%20GMT	https://static.tildacdn.com/tild3661-6233-4438-b837-646633613736/-/empty/kisspng-vertebral-co.png	/home/user/websites/almaty/static.tildacdn.com/tild3661-6233-4438-b837-646633613736/-/empty/kisspng-vertebral-co.png	(from https://www.strela-academy.ru/)
00:09:17	166/166	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Mon,%2030%20Nov%202020%2018:09:17%20GMT	https://static.tildacdn.com/tild3735-3532-4530-b438-646237313935/-/empty/photo_2020-02-25_14-.jpg	/home/user/websites/almaty/static.tildacdn.com/tild3735-3532-4530-b438-646237313935/-/empty/photo_2020-02-25_14-.png	(from https://www.strela-academy.ru/)
00:09:18	166/166	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Mon,%2030%20Nov%202020%2018:09:18%20GMT	https://static.tildacdn.com/tild6231-3432-4231-b638-323963336337/-/empty/photo_2020-02-25_14-.jpg	/home/user/websites/almaty/static.tildacdn.com/tild6231-3432-4231-b638-323963336337/-/empty/photo_2020-02-25_14-.png	(from https://www.strela-academy.ru/)
00:09:20	166/166	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Mon,%2030%20Nov%202020%2018:09:20%20GMT	https://static.tildacdn.com/tild3665-3334-4830-b533-373663623938/-/resize/20x/photo.png	/home/user/websites/almaty/static.tildacdn.com/tild3665-3334-4830-b533-373663623938/-/resize/20x/photo.png	(from https://www.strela-academy.ru/)
00:09:21	353/353	---M--	404	error ('Not%20Found')	text/html	etag:%22161-567708df205c0%22	https://tilda.ws/robots.txt		(from https://www.strela-academy.ru/)
00:09:22	18900/18900	---M--	200	added ('OK')	image/png	etag:%22a891ad054b9c238488afca452150537e%22	http://static.tildacdn.com/img/b-share_counter_large_white.png	/home/user/websites/almaty/static.tildacdn.com/img/b-share_counter_large_white.png	(from https://tilda.ws/project1997668/tilda-blocks-2.12.css?t=1589530578)
00:09:25	373311/373311	URF---	200	added ('OK%20(cached)')	image/png		https://static.tildacdn.com/tild3661-6233-4438-b837-646633613736/kisspng-vertebral-co.png	/home/user/websites/almaty/static.tildacdn.com/tild3661-6233-4438-b837-646633613736/kisspng-vertebral-co.png	(from https://www.strela-academy.ru/)
00:09:26	8458/8458	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225d19d52e-210a%22	https://stat.tildacdn.com/js/tildastat-0.2.min.js	/home/user/websites/almaty/stat.tildacdn.com/js/tildastat-0.2.min.js	(from https://www.strela-academy.ru/)
00:09:26	431/431	---MC-	404	error ('Not%20Found')	text/html	etag:W/%22154-56d5bbe607fc0%22	https://www.strela-academy.ru/tilda/popup/	/home/user/websites/almaty/www.strela-academy.ru/tilda/popup/index.html	(from https://tilda.ws/project1997668/tilda-blocks-2.7.js?t=1589530578)
00:09:26	340/340	---M--	404	error ('Not%20Found')	text/html	etag:%22154-56d5bbe607fc0%22	https://www.strela-academy.ru/POST	/home/user/websites/almaty/www.strela-academy.ru/POST.34.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
00:09:27	116372/116372	URF---	200	added ('OK%20(cached)')	image/jpeg		https://static.tildacdn.com/tild3530-6635-4539-a435-356465643762/photo_2020-02-25_14-.jpg	/home/user/websites/almaty/static.tildacdn.com/tild3530-6635-4539-a435-356465643762/photo_2020-02-25_14-.jpg	(from https://www.strela-academy.ru/)
00:09:28	872/872	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221dee47948b71db10601ba07ebb68605a%22	https://static.tildacdn.com/lib/linea/1bec3cd7-e9d1-2879-5880-19b597ef9f1a/arrows_circle_remove.svg	/home/user/websites/almaty/static.tildacdn.com/lib/linea/1bec3cd7-e9d1-2879-5880-19b597ef9f1a/arrows_circle_remove.svg	(from https://www.strela-academy.ru/)
